,Question,Answer
62,<p>Is $600/week enough for anything in regard to the PICS internships? Like actually poverty for no reason lol</p>,"<p>Response from Olive:</p><p>`this may depend on where you plan on interning geographically. for example, if you&rsquo;re in nyc / dc it may be a little tight, but I think the biggest expense you can potentially cut costs on is housing since I think many interns room together when they can for cheaper housing / social networking. I didn&rsquo;t do PICS but last summer I spent about $4k living in a major city for 8 weeks with most of it being rent, so it&rsquo;s definitely doable with some extra leftover. They definitely take costs into consideration since they&rsquo;ve been offering PICS for quite some time, so they&rsquo;ve received a lot of feedback about the sufficiency of the compensation and adjusted for inflation when necessary.</p>"
63,"<p>I'm applying for PICS internships rn and want to put my GPA on my resume, but one of my courses hasn't released grades yet. I'm a freshman so if the grade isn't good my GPA could be significantly different from the one currently on my tigerhub. Is it a bad idea to write down the temporary GPA that only represents 3/4 of my classes?</p>",<p>Response from Chewy:</p><p>I don&rsquo;t think so. I would submit whichever GPA is shown in Tigerhub right before the 1/9 deadline since that&rsquo;s the only GPA number you have.</p>
64,<p>Highest paying jobs? Not really interested in anything and just want to get that bag really</p>,"<p>Response from Chewy:</p><p>Quant, SWE, IB, and Consulting.</p>"
65,<p>How is MAT103 for someone who sucks at math but wants to potentially be a Neuro major? I mean like I can do Algebra 2 at most rn lol.</p>,"<p>Response from Heisenberg:</p><p>It&rsquo;ll be tough, as all Princeton maths courses are, but you shouldn&rsquo;t let it stop you from pursuing neuro!! Solve as many practice problems as you can (just reading the material is insufficient), go to office hours the instant you have any questions, and monitor your progress so you make an informed decision whether to (stay in, PDF the, drop the) class. You got this!!</p>"
66,<p>What is the deal with the Bogle Fellowship and Service focus? Is it only for 1st-years?</p>,"<p>Response from Heisenberg:</p><p><a href=""https://pace.princeton.edu/get-involved/pace-center-programs/john-c-bogle-51-fellows-civic-service#:~:text=This%20year%2C%20the%20Bogle%20Fellowship%20is%20open%20to%20first%2Dyears%2C%20sophomores%2C%20and%20juniors."">Bogle Fellowship is available for first-years, sophomores, and juniors. </a></p><p><a href=""https://pace.princeton.edu/get-involved/pace-center-programs/service-focus#:~:text=first%20two%20years%20of%20the%20undergraduate%20experience."">Service Focus prioritizes first-years and sophomores.</a></p>"
67,<p>Anybody had experience transferring from ab to bse after first sem (did not take phy103)? Will this be allowed as the BSE program requires students to finish the physics sequence by the end of first year. Will I be blocked from declaring a major and applying for CPT for a summer internship then? I emailed dean bogucki alrdy but some insights before school starts when I get to meet with him will be greatly appreciated as I plan for my next semester and summer. Thanks!</p>,"<p>Response from Heisenberg:</p><p>If physics is all that&rsquo;s left for your BSE prereqs, you can definitely still take PHY 103 and PHY 104 during sophomore year. I switched to BSE after my second semester with three missing BSE prereqs; just make sure you have a plan laid out to complete them and the rest of your chosen BSE major&rsquo;s degree requirements in a timely manner. Bogucki should allow you to switch as long as you&rsquo;re asserting that you have things all planned out.</p>"
68,"<p>In your opinion, what percentage of a 3.9 do you have to reach for it to round up to a 4.0 (for job applications and CVs?) I feel like a 4.0 is always taken to mean ""perfect undergraduate record"" but after 1 B and many semesters of As, the number of hundredths of a 4.0 just keeps getting bigger. </p>","<p>Response from Chewy:</p><p>To be frank, the Center for Career development at Princeton will have a much more informed answer than we do.</p><p>GPA on a CV should be rounded to the nearest hundredth. For jobs that round GPA to the nearest tenth, it may be ok to round up at a 3.96 or above. </p>"
69,<p>It’s been a while since I’ve been on campus; do the dining halls still have containers where you can take food to go (as in the first post-Covid semesters)?</p>,<p>Response from Fallon: </p><p>not anymore!</p>
70,<p>when do seniors usually secure a post-grad job? feels like a lot of my friends already know where they're working after graduation and i'm falling behind...</p>,"<p>Response from Chewy:</p><p>It may be the case that many of your senior friends work in industries that recruit very early, such as consulting, investment banking, and technology, so they generally know where they&rsquo;re working after graduation. </p><p>However, this is only the case for a minority of the senior population, and many seniors will recruit in the spring or post-grad summer to secure their job, which is where you may fall. Furthermore, the current job market is grim with the &ldquo;recession&rdquo; and &ldquo;cost-cutting&rdquo; that many companies are doing, so it&rsquo;ll take quite a bit to secure a post-grad job this year.</p>"
71,"<p>for neuro, could you pdf the math prereq and the physics requirement?</p>","<p>Response from Heisenberg:</p><p>The department <a href=""https://ua.princeton.edu/academic-units/neuroscience-ab-through-princeton-neuroscience-institute"">says this</a>: &ldquo;Students must receive a passing grade in each prerequisite course in order to enter the neuroscience concentration.&rdquo; Seems like as long as you pass those classes, you should be fine -&gt; PDF is fine.</p>"
72,<p>Is LENS actually anything new? As far as I can tell it is just a new website for the internship programs that already existed.</p>,"<p>Response from Heisenberg:</p><p>It’s a scam. Lol jkjk — it’s essentially a centralized bulletin board for all the internship resources that Princeton has to offer. Makes stuff easier to find I suppose. There’s fine print in some <a href=""https://href.li/?https://www.princeton.edu/news/2022/10/31/lens-will-make-summer-service-internships-possible-all-princeton-undergraduates"">announcement</a> somewhere about details that they’ve added to the program.</p>"
73,<p>what is the summa GPA cutoff for politics?</p>,<p>Readers?</p>
74,<p>for cum laude/magna/summa is it determined by overall gpa or departmental gpa?</p>,<p>Response from Chewy:</p><p>Departmental GPA.</p>
75,<p>Is Tigermatch legit?</p>,<p>Response from Chewy:</p><p>Yup! I don&rsquo;t think it&rsquo;s widely used as much anymore though.</p><p>Response from Heisenberg:</p><p>Need to petition for the creators to bring the service back expeditiously</p>
76,"<p>follow up to tigerhub question: if they made the change before jan 9th but it just doesn’t update, will it still eventually update afterwards? or like is everything locked after the 9th</p>",<p>Response from Olive:</p><p>I think grade changes technically have to be approved by the senior associate dean of the college to ensure it&rsquo;s within reason and then it can be processed. grades can still be inputted / changed past jan 9th so I wouldn&rsquo;t worry about it.</p>
77,<p>Are the faith-based internships just scams?</p>,"<p>Response from Olive:</p><p>no, a University-sponsored, approved, and funded internship is not a scam.</p>"
78,"<p>if you had to estimate, what percentage of frosh have a 4.0 after first semester?</p>","<p>Response from Heisenberg:</p><p>I know a lot of people who had really easy 4-class semesters (e.g. no writing sem, super easy freshman sem, taking classes equivalent to what they alr took in hs, selectively choosing easy classes to get accustomed to Princeton workload). Then throw in a few geniuses into the mix and you probably have anywhere between 50 to 150 students so like 4-12%? </p>"
79,"<p>does tigerhub take a little to update? i was able to have my prof change a final grade and he said he put the change in the system, but im still not seeing the change on my end. don’t wanna keep bothering him w emails but ik grades are due soon</p>",<p>Response from Heisenberg:</p><p>Yeah they take forever</p>
80,"<p>should i move up to mat204 in the spring? took 201 fall, which felt hard despite multi experience but managed a safe A. realized i might be interested in theoretical cs research and wanted to get experience with proofy stuff (have none now). worried about the difficulty/time commitment, as i have phy104, writing sem, cos226, and another dist. req that i would need to find (because mat204 conflicts with the one i have now). regardless, i would take cos240 or mat215 soph fall</p>","<p>Response from Heisenberg:</p><p>Given your interest in CS, there&rsquo;s this really interesting line from the math department regarding 204: &ldquo;The course will present various applications of linear algebra in graph and network theory, cryptography, image compression, probability and statistics, machine learning, principal component analysis, linear, constrained, and regularized least-square optimization, ranking algorithms (least-squares, Google page rank), and SVD-based recommendation engine (Netflix).&rdquo; Shopping 204 for the first week or so and dropping to 202 if the time commitment proves to be too much is something reasonable you could do.</p>"
81,<p>what are the prereqs for ECO363? can't find prereqs for it on the registrar page for some reason</p>,<p>Response from Heisenberg:</p><p>Used to be a mix of ECO 300/310 and ECO 362 but they’re really not necessary</p>
82,"<p>if MAT175 is listed as a prereq for a course, do you have to take 202 to fulfill the equivalent or just 201?</p>","<p>Response from Heisenberg:</p><p>175 is more focused on 201 material, so take 201</p>"
83,<p>do pdf/pdfo classes count toward your gpa in any way? or do they not affect your gpa? thanks!</p>,<p>Response from Heisenberg:</p><p>Grades in PDF’d courses are omitted from GPA calculations</p>
84,"<p>PSIP: most if not all are programs provided by organizations or companies associated with Princeton alumni. So are some of the winter internships. For first year students who don’t have much experience or cannot get other internship opportunities, the school is trying to take care of them by getting alumni to help and fund these programs, some with overseas visits.</p>",<p>RT</p>
85,<p>does anyone know why ncw is still not on hoagiemail? i genuinely feel like i miss out on so much as an ncw student because of this. i heard its something to do with the dsl (garrett meggs?) but not sure</p>,"<p>Response from Chewy:</p><p>NCW is the only res college listserv where you have to be an NCW student to be part of it. If you want to stay in touch with campus events, subscribe to one of the other res college listservs (Matheymail, Whitman Wire, ReINNformer, etc.) to stay in touch. The only restriction to these listservs is to be a Princeton student or faculty member.</p>"
86,<p>Does block 105 include late meal?</p>,"<p>Response from Chewy:</p><p>Yes, one late meal = one swipe. </p>"
87,<p>Is PSIP just a scam? Like bruh who wants to work at a no-name company in India or some other meh country? Bruh.</p>,"<p>Response from Ocean:</p><p>Why would it be a scam&hellip;? Plenty of people want internships and are interested for working for start-ups, all of which are &lsquo;no-name companies&rsquo; by definition. </p><p>Also, in the future, not a good idea to refer to countries as 'meh countries&rsquo;. It sounds racist. </p><p>If you&rsquo;re not interested, don&rsquo;t apply. There are plenty of other internship opportunities to choose from. </p>"
88,<p>made it to interview round of glossgenius for psip... it's in 6 days and they just sent me the conference link today. there is no info on what to expect or how to prepare... is that supposed to be normal?</p>,"<p>Response from Ocean:</p><p>Yes, that&rsquo;s normal. Typically&ndash;unless the interview has some specific requirement, like a technical portion&ndash;this is how interviews are conducted, even for Princeton-specific opportunities.</p><p>If you&rsquo;d like information on what to expect or how to prepare, I&rsquo;d first look to the Center for Career Development. </p>"
89,<p>How to ask out a girl without being referred to the Dean for sexual harassment? I'm serious.</p>,"<p>Response from Ocean:</p><p>The wording of this question kind of makes it seems like you have been referred to the Dean for sexual harassment&hellip;? If this is the case, I&rsquo;d encourage you to speak to <a href=""https://share.princeton.edu/"">SHARE</a>, the confidential campus resource for sexual harassment. You can talk about what happened with a trained counselor or SHARE peer, and both of you can try and figure out what happened, where you made a mistake (if you indeed did), and how to go about it for next time. I&rsquo;m serious about this. I know the resource is primarily for victims of sexual harassment, but that&rsquo;s not the only thing they do. And I think it could be a confidential, non-judgemental place in which to discuss the specifics of your case without worrying about reporting.</p><p>But to answer your actual question. I think mostly you need to be clear about what you&rsquo;re asking, look for signs that the girl is interested in such a romantic proposal, and keep it casual and low-pressure. It is also ideal if you know the girl well, and if you already have somewhat of a flirtatious relationship or are both interested in each other. However, sometimes you can&rsquo;t really tell. </p><p>It&rsquo;s not a good idea to make it a huge deal, to give a long speech about why she should say yes (rom coms are not real life, y'all), or to ask multiple times if she&rsquo;s already said no. Also kind of obvious, but don&rsquo;t insinuate something sexual (or expect it, after you&rsquo;ve been on the date). </p><p>An example of a good way: &ldquo;Hey [name], I like you and I was wondering if you would like to go on a date with me sometime. We could [get coffee/go to a concert/get dinner].&rdquo;</p><p>Simple, low pressure. If she says no, try to just shrug it off and move on. Don&rsquo;t ask again&ndash;assume the answer will still be no. If she says she&rsquo;s not sure or needs to think about it, then just say okay and ask her to let you know when she&rsquo;s decided (and move on in the conversation). If she never brings it up, you can ask again (once!), again casually (&ldquo;About what I asked you on Monday, did you make up your mind on if you would like to go on a date with me?&rdquo;). After that, consider it a no and move on. </p><p>Hope this answers your question. (source: have asked out girls before)</p>"
90,<p>my father is an incredibly toxic and abusive person. i'm afraid i can no longer live under the same roof as him without being constantly denigrated & like i'm losing my sanity. where can i access the continuous housing application for summer 2023? and most importantly: who can i speak to about my experiences? i definitely don't feel like i can be vulnerable enough to open up to evenclose friends about this & i'm scared that severing ties with my dad will mean the loss of my other family members</p>,"<p>Response from Ocean:</p><p>I&rsquo;m so sorry you&rsquo;re going through this! I don&rsquo;t think the application for continuous housing for summer is open yet, but when it is, you&rsquo;ll be able to access it through the <a href=""https://princeton.service-now.com/service?id=home"">Princeton Service Portal</a>. I&rsquo;ve never applied for continuous housing myself, but this is what the Housing website says. For reference, the winter continuous housing application closed at the end of November, and students got several emails mentioning it. I&rsquo;d imagine for summer it wouldn&rsquo;t open up until after Spring Break. On the plus side, I don&rsquo;t know of anyone who&rsquo;s gotten rejected from continuous housing for identity-based concerns such as this one. </p><p>As for your more important question, you have several resources and people you can talk to.</p><p>First, I would like to mention your DSL/Assistant Dean for Student Life. They are there to help, and can definitely help with your continuous housing application and other concerns you have housing-wise. They can also help connect you to other resources as needed. </p><p>If you still live in your residential college, you also have a Residential Life Coordinator and an RCA/ARCA. These people are also here to help/listen to your concerns. If you&rsquo;re comfortable with your RCA/ARCA, just ask to talk to them. A big chunk of our jobs is just listening to students, I&rsquo;ve done things like this several times before. They will also handle your information sensitively and privately, and you don&rsquo;t have to worry about anyone else finding out. If you got along well with one of your past RCAs, and you still have their contact info, I&rsquo;m sure they&rsquo;d be happy to hear from you as well, even if it is just to unload on them.</p><p>Finally, there is CPS. I saved this for last not because it is less important than the other resources, but because I&rsquo;m sure this is kind of an obvious answer you may have considered before. I know some students have their frustrations with CPS, but I&rsquo;ve always gotten what I needed from them. They&rsquo;re very familiar with dealing with these types of family issues, it comes up a lot with college students. (It&rsquo;s your first time living on your own, your childhood is still fresh in your mind, you&rsquo;re still working out the kind of relationship you want to have with your parents/family as an adult.) They can also refer you to an outside therapist that accepts your health insurance, which can be a very helpful space to process all of this and try and figure out your next steps. Therapy has been important for me and for many of my friends, and I&rsquo;d encourage you to seek it out even if you feel like there&rsquo;s nothing &lsquo;wrong&rsquo; with you. It is designed to be a private, confidential space for you to process this on your own and with guidance from a professional. </p><p>Good luck, and sending well wishes to you. </p>"
91,"<p>If one of my classes that didn't have a final still hasn't inputted the grade, should I email the professor or just wait until the deadline for all grades on Monday?</p>",<p>Response from Olive:</p><p>technically the Monday deadline is only a suggestion and there aren&rsquo;t any consequences for submitting past the deadline so it&rsquo;s unfortunately just a waiting game until they submit the grades. you can try to email to get an idea of when they may be available but the professor is likely working to ensure they&rsquo;re in as soon as possible because I&rsquo;m sure they get bugged about it from admin.</p>
92,<p>can you audit a grad class</p>,<p>Response from Olive:</p><p>as long as it says &ldquo;Audit&rdquo; under the grading basis on its course offerings page then yes</p>
93,<p>When is dev psych final grades coming out!</p>,"<p>Response from Olive:</p><p>literally what I&rsquo;ve been asking myself all week lol, deadline is Monday but hopefully earlier</p><p>update: we definitely manifested them coming out today</p>"
94,"<p>for the freshman first honor prize, is it awarded based on gpa? or what are the criteria?</p>",<p>Response from Chewy:</p><p>It looks to be a combination of GPA and difficulty in classes. Research may also help to establish academic rigor.</p>
95,<p>what exactly are eating club formals?</p>,"<p>Response from Chewy:</p><p>Eating club formals are similar to a fancy sit-down dinner + party, where eating club members and their guests dress up for this event. Some eating clubs invite live entertainment to their formals. </p>"
96,<p>is it possible to take a math course for a requirement over the summer while also having an internship? like do other colleges have online courses that would work with the times I'm available?</p>,"<p>Response from Halocline:</p><p>definitely! i took MAE305/MAT391 last summer — important thing is you start looking early, as the deadlines for applying for transfer credit and registering will sneak up on you. look first at your local/state university to see if they have any online classes at nighttime, but rutgers tends to have a strong offering of classes if you need and can be good if you’re staying near campus for the summer</p>"
97,"<p>reunions job applications due soon, any update on reunions questions?</p>","<p>I don&rsquo;t think so, and we haven&rsquo;t received responses from readers yet. Readers?</p>"
98,<p>where can i reserve a room that is as quiet as possible? need to take a big exam</p>,<p>Response from Chewy:</p><p>Lewis Library study rooms are a good choice.</p>
99,<p>junior who has no idea what they want to do after graduation. i’ve been a people pleaser for so long that i’m not even sure what i’m genuinely interested in. please help</p>,"<p>Response from Chewy:</p><p>I would consider what industry you want to be a part of. In which areas are you passionate? Do you prefer a quantitative role? Do you like to pitch and convince others in marketing? Are you someone who likes to research? Do you like to solve problems such as that in consulting or product management?</p><p>Being a &ldquo;people pleaser&rdquo; is crucial in numerous jobs, so it&rsquo;s hard to help you with that one piece of information. A great resource is to make an appointment with the Center for Career Development at Princeton and discuss your options there.</p>"
