,Question,Answer
84,"PSIP: most if not all are programs provided by organizations or companies associated with Princeton alumni. So are some of the winter internships. For first year students who don’t have much experience or cannot get other internship opportunities, the school is trying to take care of them by getting alumni to help and fund these programs, some with overseas visits.",RT
85,does anyone know why ncw is still not on hoagiemail? i genuinely feel like i miss out on so much as an ncw student because of this. i heard its something to do with the dsl (garrett meggs?) but not sure,"Response from Chewy:NCW is the only res college listserv where you have to be an NCW student to be part of it. If you want to stay in touch with campus events, subscribe to one of the other res college listservs (Matheymail, Whitman Wire, ReINNformer, etc.) to stay in touch. The only restriction to these listservs is to be a Princeton student or faculty member."
86,Does block 105 include late meal?,"Response from Chewy:Yes, one late meal = one swipe. "
87,Is PSIP just a scam? Like bruh who wants to work at a no-name company in India or some other meh country? Bruh.,"Response from Ocean:Why would it be a scam…? Plenty of people want internships and are interested for working for start-ups, all of which are ‘no-name companies’ by definition. Also, in the future, not a good idea to refer to countries as 'meh countries’. It sounds racist. If you’re not interested, don’t apply. There are plenty of other internship opportunities to choose from. "
88,made it to interview round of glossgenius for psip... it's in 6 days and they just sent me the conference link today. there is no info on what to expect or how to prepare... is that supposed to be normal?,"Response from Ocean:Yes, that’s normal. Typically–unless the interview has some specific requirement, like a technical portion–this is how interviews are conducted, even for Princeton-specific opportunities.If you’d like information on what to expect or how to prepare, I’d first look to the Center for Career Development. "
89,How to ask out a girl without being referred to the Dean for sexual harassment? I'm serious.,"Response from Ocean:The wording of this question kind of makes it seems like you have been referred to the Dean for sexual harassment…? If this is the case, I’d encourage you to speak to SHARE, the confidential campus resource for sexual harassment. You can talk about what happened with a trained counselor or SHARE peer, and both of you can try and figure out what happened, where you made a mistake (if you indeed did), and how to go about it for next time. I’m serious about this. I know the resource is primarily for victims of sexual harassment, but that’s not the only thing they do. And I think it could be a confidential, non-judgemental place in which to discuss the specifics of your case without worrying about reporting.But to answer your actual question. I think mostly you need to be clear about what you’re asking, look for signs that the girl is interested in such a romantic proposal, and keep it casual and low-pressure. It is also ideal if you know the girl well, and if you already have somewhat of a flirtatious relationship or are both interested in each other. However, sometimes you can’t really tell. It’s not a good idea to make it a huge deal, to give a long speech about why she should say yes (rom coms are not real life, y'all), or to ask multiple times if she’s already said no. Also kind of obvious, but don’t insinuate something sexual (or expect it, after you’ve been on the date). An example of a good way: “Hey [name], I like you and I was wondering if you would like to go on a date with me sometime. We could [get coffee/go to a concert/get dinner].”Simple, low pressure. If she says no, try to just shrug it off and move on. Don’t ask again–assume the answer will still be no. If she says she’s not sure or needs to think about it, then just say okay and ask her to let you know when she’s decided (and move on in the conversation). If she never brings it up, you can ask again (once!), again casually (“About what I asked you on Monday, did you make up your mind on if you would like to go on a date with me?”). After that, consider it a no and move on. Hope this answers your question. (source: have asked out girls before)"
90,my father is an incredibly toxic and abusive person. i'm afraid i can no longer live under the same roof as him without being constantly denigrated & like i'm losing my sanity. where can i access the continuous housing application for summer 2023? and most importantly: who can i speak to about my experiences? i definitely don't feel like i can be vulnerable enough to open up to evenclose friends about this & i'm scared that severing ties with my dad will mean the loss of my other family members,"Response from Ocean:I’m so sorry you’re going through this! I don’t think the application for continuous housing for summer is open yet, but when it is, you’ll be able to access it through the Princeton Service Portal. I’ve never applied for continuous housing myself, but this is what the Housing website says. For reference, the winter continuous housing application closed at the end of November, and students got several emails mentioning it. I’d imagine for summer it wouldn’t open up until after Spring Break. On the plus side, I don’t know of anyone who’s gotten rejected from continuous housing for identity-based concerns such as this one. As for your more important question, you have several resources and people you can talk to.First, I would like to mention your DSL/Assistant Dean for Student Life. They are there to help, and can definitely help with your continuous housing application and other concerns you have housing-wise. They can also help connect you to other resources as needed. If you still live in your residential college, you also have a Residential Life Coordinator and an RCA/ARCA. These people are also here to help/listen to your concerns. If you’re comfortable with your RCA/ARCA, just ask to talk to them. A big chunk of our jobs is just listening to students, I’ve done things like this several times before. They will also handle your information sensitively and privately, and you don’t have to worry about anyone else finding out. If you got along well with one of your past RCAs, and you still have their contact info, I’m sure they’d be happy to hear from you as well, even if it is just to unload on them.Finally, there is CPS. I saved this for last not because it is less important than the other resources, but because I’m sure this is kind of an obvious answer you may have considered before. I know some students have their frustrations with CPS, but I’ve always gotten what I needed from them. They’re very familiar with dealing with these types of family issues, it comes up a lot with college students. (It’s your first time living on your own, your childhood is still fresh in your mind, you’re still working out the kind of relationship you want to have with your parents/family as an adult.) They can also refer you to an outside therapist that accepts your health insurance, which can be a very helpful space to process all of this and try and figure out your next steps. Therapy has been important for me and for many of my friends, and I’d encourage you to seek it out even if you feel like there’s nothing ‘wrong’ with you. It is designed to be a private, confidential space for you to process this on your own and with guidance from a professional. Good luck, and sending well wishes to you. "
91,"If one of my classes that didn't have a final still hasn't inputted the grade, should I email the professor or just wait until the deadline for all grades on Monday?",Response from Olive:technically the Monday deadline is only a suggestion and there aren’t any consequences for submitting past the deadline so it’s unfortunately just a waiting game until they submit the grades. you can try to email to get an idea of when they may be available but the professor is likely working to ensure they’re in as soon as possible because I’m sure they get bugged about it from admin.
92,can you audit a grad class,Response from Olive:as long as it says “Audit” under the grading basis on its course offerings page then yes
93,When is dev psych final grades coming out!,"Response from Olive:literally what I’ve been asking myself all week lol, deadline is Monday but hopefully earlierupdate: we definitely manifested them coming out today"
94,"for the freshman first honor prize, is it awarded based on gpa? or what are the criteria?",Response from Chewy:It looks to be a combination of GPA and difficulty in classes. Research may also help to establish academic rigor.
95,what exactly are eating club formals?,"Response from Chewy:Eating club formals are similar to a fancy sit-down dinner + party, where eating club members and their guests dress up for this event. Some eating clubs invite live entertainment to their formals. "
96,is it possible to take a math course for a requirement over the summer while also having an internship? like do other colleges have online courses that would work with the times I'm available?,"Response from Halocline:definitely! i took MAE305/MAT391 last summer — important thing is you start looking early, as the deadlines for applying for transfer credit and registering will sneak up on you. look first at your local/state university to see if they have any online classes at nighttime, but rutgers tends to have a strong offering of classes if you need and can be good if you’re staying near campus for the summer"
97,"reunions job applications due soon, any update on reunions questions?","I don’t think so, and we haven’t received responses from readers yet. Readers?"
98,where can i reserve a room that is as quiet as possible? need to take a big exam,Response from Chewy:Lewis Library study rooms are a good choice.
99,junior who has no idea what they want to do after graduation. i’ve been a people pleaser for so long that i’m not even sure what i’m genuinely interested in. please help,"Response from Chewy:I would consider what industry you want to be a part of. In which areas are you passionate? Do you prefer a quantitative role? Do you like to pitch and convince others in marketing? Are you someone who likes to research? Do you like to solve problems such as that in consulting or product management?Being a “people pleaser” is crucial in numerous jobs, so it’s hard to help you with that one piece of information. A great resource is to make an appointment with the Center for Career Development at Princeton and discuss your options there."
